Explant_Type,Plant_Species,Medium_Composition,Temperature,Humidity,Light_Intensity,Culture_Duration,Regeneration_Success_Rate
Stem,Tomato,B5 + 2mg/L BAP,23,55,2451,60,84
Root,Onion,B5 + 2mg/L BAP,20,66,3622,44,84
Stem,Ginger,B5 + 2mg/L BAP,20,62,2785,58,71
Stem,Lettuce,B5 + 2mg/L BAP,20,59,2154,51,90
Stem,Garlic,B5 + 1mg/L NAA,21,74,2351,54,90
Root,Marigold,MS + 0.5mg/L IAA,24,75,3340,46,74
Stem,Lavender,MS + 1mg/L NAA,21,59,4357,50,73
Root,Carrot,MS + 1mg/L NAA,24,69,3947,46,95
Leaf,Marigold,B5 + 0.5mg/L IAA,21,64,4671,35,84
Root,Garlic,B5 + 0.5mg/L IAA,23,63,4618,54,70
Leaf,Lettuce,MS + 1.5mg/L BAP,20,75,2635,54,93
Leaf,Cucumber,B5 + 2mg/L BAP,20,50,2706,32,78
Root,Carrot,B5 + 1mg/L NAA,20,55,3150,42,84
Stem,Mint,B5 + 0.5mg/L IAA,25,58,2592,50,71
Root,Garlic,B5 + 2mg/L BAP,25,68,2517,40,73
Leaf,Dandelion,MS + 0.5mg/L IAA,21,66,4147,33,75
Stem,Onion,B5 + 2mg/L BAP,21,63,3150,57,80
Root,Beetroot,MS + 2mg/L BAP,21,63,4217,32,92
Stem,Chamomile,MS + 2mg/L BAP,24,56,2880,49,92
Stem,Daisy,MS + 2mg/L BAP,25,58,3250,50,89
Root,Thyme,MS + 1mg/L NAA,25,55,4714,52,75
Stem,Lavender,MS + 0.5mg/L IAA,23,73,4458,35,87
Root,Tomato,B5 + 2mg/L BAP,20,51,2685,32,91
Leaf,Rose,MS + 2mg/L BAP,22,73,3964,39,95
Root,Garlic,MS + 1.5mg/L BAP,20,75,3562,56,77
Stem,Eggplant,B5 + 2mg/L BAP,21,68,3680,59,76
Root,Thyme,B5 + 2mg/L BAP,20,61,4266,41,90
Stem,Lettuce,MS + 1.5mg/L BAP,25,57,2199,45,88
Leaf,Potato,MS + 1mg/L NAA,22,63,4325,39,93
Leaf,Cauliflower,MS + 2mg/L BAP,24,74,4574,52,85
Stem,Dandelion,B5 + 0.5mg/L IAA,25,64,4129,39,72
Stem,Spinach,B5 + 2mg/L BAP,22,70,3040,40,84
Root,Parsley,B5 + 2mg/L BAP,20,71,3785,34,90
Stem,Beetroot,B5 + 0.5mg/L IAA,23,65,4682,31,87
Root,Thyme,B5 + 0.5mg/L IAA,25,70,4843,55,81
Stem,Rose,MS + 0.5mg/L IAA,23,57,2201,36,82
Leaf,Sunflower,B5 + 1mg/L NAA,23,58,2339,31,86
Root,Mint,MS + 1.5mg/L BAP,26,71,4595,55,73
Root,Broccoli,MS + 1.5mg/L BAP,22,68,4073,55,84
Leaf,Lavender,B5 + 2mg/L BAP,21,67,2137,51,82
Stem,Lettuce,MS + 2mg/L BAP,26,70,3124,34,89
Stem,Lettuce,B5 + 0.5mg/L IAA,26,70,2033,45,84
Leaf,Chamomile,MS + 2mg/L BAP,25,61,2835,50,81
Root,Thyme,MS + 0.5mg/L IAA,26,55,2805,42,71
Leaf,Marigold,MS + 2mg/L BAP,22,69,3228,54,81
Leaf,Cauliflower,MS + 1.5mg/L BAP,22,65,4267,49,89
Stem,Basil,MS + 1.5mg/L BAP,23,57,2020,58,73
Stem,Sunflower,MS + 0.5mg/L IAA,25,61,2294,38,85
Root,Pansy,MS + 1.5mg/L BAP,20,62,3366,44,93
Leaf,Eggplant,MS + 1.5mg/L BAP,22,74,2897,36,77
Leaf,Sunflower,B5 + 0.5mg/L IAA,25,52,3796,30,92
Root,Dandelion,MS + 2mg/L BAP,21,60,2991,46,94
Stem,Lettuce,MS + 2mg/L BAP,21,72,3534,53,88
Stem,Parsley,MS + 2mg/L BAP,23,55,4158,54,77
Leaf,Spinach,MS + 0.5mg/L IAA,23,62,3634,47,70
Stem,Pepper,MS + 1.5mg/L BAP,21,62,3639,34,94
Stem,Eggplant,B5 + 0.5mg/L IAA,26,61,3990,39,92
Root,Mint,B5 + 0.5mg/L IAA,25,60,2427,60,72
Leaf,Cucumber,B5 + 2mg/L BAP,22,68,3416,31,71
Root,Thyme,MS + 2mg/L BAP,23,52,3336,36,91
Stem,Cucumber,MS + 0.5mg/L IAA,26,58,3069,56,81
Leaf,Potato,MS + 2mg/L BAP,20,65,3116,53,93
Root,Carrot,MS + 0.5mg/L IAA,20,74,3707,41,81
Stem,Potato,B5 + 2mg/L BAP,24,62,2064,51,88
Root,Ginger,MS + 1mg/L NAA,20,55,3413,57,72
Stem,Chrysanthemum,B5 + 0.5mg/L IAA,22,61,3003,37,94
Stem,Tomato,MS + 2mg/L BAP,21,75,4399,35,82
Leaf,Cucumber,B5 + 2mg/L BAP,20,57,2631,53,89
Root,Tomato,MS + 1.5mg/L BAP,22,70,3609,59,94
Root,Mint,B5 + 1mg/L NAA,23,66,2167,32,87
Stem,Cucumber,B5 + 0.5mg/L IAA,25,51,4519,55,76
Stem,Cucumber,MS + 2mg/L BAP,25,69,3791,35,77
Root,Oregano,MS + 1.5mg/L BAP,26,63,3984,53,92
Leaf,Carrot,B5 + 1mg/L NAA,25,63,3094,39,90
Root,Lettuce,B5 + 2mg/L BAP,21,59,3650,58,72
Leaf,Daisy,B5 + 1mg/L NAA,25,53,4592,39,85
Root,Spinach,B5 + 0.5mg/L IAA,22,58,4869,30,88
Stem,Thyme,B5 + 2mg/L BAP,23,65,2564,53,76
Root,Spinach,B5 + 1mg/L NAA,26,75,4030,52,82
Root,Ginger,MS + 1.5mg/L BAP,21,61,2557,35,79
Stem,Eggplant,MS + 2mg/L BAP,22,57,2196,48,90
Stem,Thyme,B5 + 1mg/L NAA,21,57,4576,36,85
Leaf,Rose,B5 + 1mg/L NAA,22,62,3362,54,70
Stem,Basil,MS + 2mg/L BAP,24,68,2844,43,86
Root,Basil,B5 + 0.5mg/L IAA,23,72,3618,37,89
Root,Tomato,B5 + 2mg/L BAP,20,61,4853,39,92
Root,Pansy,B5 + 1mg/L NAA,23,55,3224,50,78
Leaf,Chamomile,B5 + 2mg/L BAP,23,59,4556,56,93
Leaf,Parsley,MS + 1mg/L NAA,24,64,4348,55,79
Stem,Parsley,MS + 1.5mg/L BAP,21,74,2257,55,71
Leaf,Aloe,MS + 1.5mg/L BAP,21,58,2438,30,82
Root,Oregano,B5 + 1mg/L NAA,22,74,4454,48,81
Root,Ginger,MS + 1mg/L NAA,26,62,4829,38,92
Leaf,Lettuce,B5 + 0.5mg/L IAA,20,63,2627,32,92
Root,Pansy,B5 + 1mg/L NAA,25,73,4910,35,95
Root,Thyme,MS + 1mg/L NAA,25,60,4173,55,90
Leaf,Pepper,MS + 1.5mg/L BAP,21,71,3429,52,79
Leaf,Chrysanthemum,B5 + 1mg/L NAA,26,57,3674,32,81
Leaf,Rose,MS + 0.5mg/L IAA,23,60,3820,56,74
Stem,Chamomile,B5 + 1mg/L NAA,25,56,4566,47,93
Leaf,Potato,B5 + 1mg/L NAA,21,67,4796,58,80
Leaf,Broccoli,B5 + 1mg/L NAA,23,68,2628,31,88
Stem,Beetroot,MS + 1.5mg/L BAP,23,72,4053,41,76
Root,Cauliflower,MS + 1mg/L NAA,20,72,3492,52,81
Root,Pepper,MS + 1.5mg/L BAP,24,72,2174,56,84
Leaf,Broccoli,B5 + 1mg/L NAA,23,63,2699,51,70
Stem,Carrot,MS + 1.5mg/L BAP,26,54,2350,35,91
Leaf,Potato,B5 + 2mg/L BAP,23,74,3463,41,85
Root,Potato,MS + 2mg/L BAP,25,70,3314,45,82
Stem,Marigold,B5 + 1mg/L NAA,26,74,4959,48,81
Leaf,Dandelion,MS + 1mg/L NAA,23,68,4658,40,70
Root,Sunflower,B5 + 1mg/L NAA,22,67,4688,48,88
Root,Onion,MS + 1.5mg/L BAP,25,60,2890,48,78
Root,Cauliflower,B5 + 1mg/L NAA,26,73,4281,31,82
Leaf,Beetroot,B5 + 1mg/L NAA,23,57,3007,52,75
Stem,Marigold,B5 + 1mg/L NAA,21,54,2080,30,70
Root,Rose,MS + 0.5mg/L IAA,26,59,4758,39,85
Stem,Mint,B5 + 1mg/L NAA,21,56,4036,59,87
Root,Parsley,MS + 2mg/L BAP,22,72,3859,56,90
Leaf,Cauliflower,MS + 1.5mg/L BAP,20,74,3393,45,80
Root,Sunflower,B5 + 1mg/L NAA,24,62,3310,49,83
Root,Thyme,MS + 0.5mg/L IAA,23,65,4248,59,74
Stem,Dandelion,MS + 0.5mg/L IAA,23,68,2568,38,90
Root,Spinach,MS + 0.5mg/L IAA,26,54,2365,32,93
Leaf,Mint,MS + 1.5mg/L BAP,24,59,2650,34,75
Root,Cucumber,B5 + 2mg/L BAP,23,53,3582,55,84
Stem,Marigold,B5 + 1mg/L NAA,24,60,2747,59,73
Stem,Spinach,MS + 2mg/L BAP,26,65,3707,50,88
Root,Oregano,B5 + 0.5mg/L IAA,26,52,3064,37,91
Root,Thyme,MS + 2mg/L BAP,22,55,2891,58,75
Leaf,Basil,B5 + 0.5mg/L IAA,26,70,4487,34,83
Leaf,Parsley,B5 + 2mg/L BAP,24,64,3518,40,70
Leaf,Spinach,B5 + 1mg/L NAA,22,70,3628,39,94
Root,Pansy,MS + 1.5mg/L BAP,23,72,3956,43,74
Leaf,Daisy,MS + 1mg/L NAA,23,63,4626,30,90
Root,Ginger,B5 + 0.5mg/L IAA,26,56,4097,32,91
Stem,Dandelion,MS + 1.5mg/L BAP,20,73,3093,47,82
Leaf,Thyme,B5 + 2mg/L BAP,25,70,3181,58,95
Leaf,Beetroot,MS + 2mg/L BAP,21,67,3619,49,93
Stem,Tobacco,B5 + 1mg/L NAA,24,57,2010,32,72
Leaf,Dandelion,MS + 1.5mg/L BAP,20,60,3826,60,73
Stem,Sunflower,MS + 1.5mg/L BAP,25,58,4298,60,87
Root,Beetroot,MS + 2mg/L BAP,21,56,4496,55,83
Leaf,Onion,MS + 0.5mg/L IAA,22,71,2091,33,86
Root,Basil,B5 + 1mg/L NAA,20,59,3968,36,70
Root,Carrot,MS + 1mg/L NAA,20,63,3406,55,93
Stem,Rose,MS + 1mg/L NAA,23,67,2336,39,73
Leaf,Chrysanthemum,MS + 2mg/L BAP,20,60,4729,53,70
Root,Spinach,MS + 2mg/L BAP,26,66,4304,60,89
Root,Cucumber,MS + 1mg/L NAA,24,73,4854,53,95
Leaf,Potato,MS + 1.5mg/L BAP,22,63,4332,37,77
Stem,Chrysanthemum,MS + 0.5mg/L IAA,24,57,2409,38,83
Stem,Cucumber,B5 + 2mg/L BAP,24,71,4486,55,70
Root,Eggplant,B5 + 0.5mg/L IAA,23,68,4067,46,88
Stem,Lavender,MS + 1.5mg/L BAP,22,50,2264,52,90
Leaf,Garlic,B5 + 2mg/L BAP,21,63,3868,41,72
Stem,Rose,MS + 0.5mg/L IAA,21,75,3979,45,88
Stem,Onion,B5 + 1mg/L NAA,21,53,3534,32,78
Root,Pansy,B5 + 1mg/L NAA,22,62,3516,36,88
Root,Pepper,B5 + 1mg/L NAA,26,73,2280,36,70
Leaf,Oregano,B5 + 2mg/L BAP,22,67,2627,49,87
Root,Beetroot,B5 + 2mg/L BAP,26,54,4345,54,72
Stem,Basil,MS + 1mg/L NAA,21,59,4775,51,90
Leaf,Potato,MS + 1.5mg/L BAP,22,68,4818,49,84
Leaf,Daisy,MS + 2mg/L BAP,20,65,3135,43,71
Leaf,Tobacco,B5 + 0.5mg/L IAA,22,68,3224,52,71
Leaf,Chamomile,MS + 2mg/L BAP,25,70,2393,35,76
Root,Broccoli,B5 + 1mg/L NAA,23,57,3256,58,74
Leaf,Thyme,B5 + 2mg/L BAP,25,69,4474,44,85
Leaf,Spinach,MS + 2mg/L BAP,26,69,2676,43,92
Stem,Sunflower,B5 + 2mg/L BAP,23,74,3388,47,82
Root,Garlic,B5 + 1mg/L NAA,24,74,2843,43,91
Root,Broccoli,B5 + 0.5mg/L IAA,21,67,4753,32,75
Leaf,Spinach,MS + 1mg/L NAA,20,75,2410,35,86
Leaf,Tobacco,MS + 2mg/L BAP,21,71,3759,45,70
Leaf,Tomato,B5 + 2mg/L BAP,20,52,3128,37,81
Leaf,Rose,MS + 1.5mg/L BAP,22,63,4539,39,95
Root,Daisy,B5 + 0.5mg/L IAA,26,53,4217,56,91
Stem,Marigold,B5 + 0.5mg/L IAA,25,61,2728,34,91
Stem,Lavender,B5 + 1mg/L NAA,23,57,4129,33,92
Leaf,Pepper,B5 + 0.5mg/L IAA,26,71,4756,54,86
Root,Pepper,MS + 2mg/L BAP,22,66,3001,33,84
Leaf,Cucumber,MS + 1.5mg/L BAP,24,52,4119,34,84
Stem,Spinach,MS + 1.5mg/L BAP,25,53,4638,30,85
Root,Parsley,MS + 1.5mg/L BAP,26,62,3377,54,85
Root,Parsley,B5 + 0.5mg/L IAA,22,75,4715,35,95
Leaf,Dandelion,MS + 0.5mg/L IAA,21,66,4336,49,71
Root,Oregano,MS + 2mg/L BAP,22,70,3949,32,72
Root,Oregano,MS + 0.5mg/L IAA,22,56,3114,58,78
Leaf,Lavender,MS + 0.5mg/L IAA,24,72,3802,52,91
Stem,Onion,MS + 1mg/L NAA,26,64,3822,52,88
Leaf,Lavender,MS + 1.5mg/L BAP,21,52,3779,36,84
Stem,Cauliflower,B5 + 0.5mg/L IAA,20,50,3435,46,74
Root,Chrysanthemum,MS + 1.5mg/L BAP,23,57,3553,32,92
Stem,Lavender,B5 + 1mg/L NAA,25,50,3307,37,82
Leaf,Ginger,MS + 1mg/L NAA,25,65,4385,31,86
Stem,Garlic,B5 + 2mg/L BAP,22,75,2150,32,74
Leaf,Pansy,MS + 2mg/L BAP,26,56,3971,39,73
Root,Garlic,MS + 2mg/L BAP,22,65,2076,48,73
Stem,Pepper,B5 + 1mg/L NAA,25,54,3481,57,88
Stem,Basil,MS + 0.5mg/L IAA,26,62,3335,39,80
Leaf,Daisy,B5 + 2mg/L BAP,20,51,3241,47,83
Leaf,Oregano,B5 + 2mg/L BAP,26,65,4970,31,90
Stem,Sunflower,MS + 0.5mg/L IAA,20,72,4509,35,90
Leaf,Potato,B5 + 1mg/L NAA,20,55,3078,49,94
Leaf,Mint,MS + 1mg/L NAA,25,74,4656,46,93
Stem,Oregano,B5 + 0.5mg/L IAA,25,74,4901,60,89
Stem,Ginger,MS + 2mg/L BAP,24,50,2861,49,82
Root,Aloe,B5 + 1mg/L NAA,23,53,4615,31,79
Stem,Lettuce,MS + 0.5mg/L IAA,26,58,3253,47,83
Stem,Aloe,B5 + 1mg/L NAA,21,67,2911,47,70
Leaf,Daisy,MS + 1.5mg/L BAP,24,69,3769,50,85
Stem,Mint,MS + 1mg/L NAA,24,63,4199,46,84
Stem,Potato,MS + 1.5mg/L BAP,20,65,3928,52,76
Root,Lettuce,B5 + 0.5mg/L IAA,24,67,4692,32,90
Stem,Spinach,MS + 1mg/L NAA,21,72,4017,48,80
Stem,Tobacco,MS + 1mg/L NAA,23,50,2417,42,89
Root,Basil,MS + 1mg/L NAA,21,67,3377,51,81
Root,Ginger,B5 + 1mg/L NAA,20,54,3681,43,82
Stem,Chamomile,MS + 1.5mg/L BAP,26,62,4308,39,92
Root,Sunflower,B5 + 0.5mg/L IAA,25,73,2715,55,95
Root,Carrot,B5 + 1mg/L NAA,23,58,2576,41,88
Leaf,Rose,B5 + 1mg/L NAA,21,68,4973,35,91
Leaf,Marigold,MS + 2mg/L BAP,22,56,2010,36,73
Root,Chrysanthemum,MS + 1.5mg/L BAP,21,53,4384,33,88
Stem,Basil,MS + 2mg/L BAP,22,54,3088,56,75
Leaf,Pansy,B5 + 2mg/L BAP,25,53,4508,48,74
Root,Mint,MS + 0.5mg/L IAA,24,59,2220,33,71
Root,Pansy,B5 + 0.5mg/L IAA,26,62,3994,51,81
Leaf,Chrysanthemum,MS + 0.5mg/L IAA,22,75,3658,48,73
Root,Garlic,MS + 0.5mg/L IAA,24,56,4842,57,76
Stem,Ginger,B5 + 0.5mg/L IAA,26,68,2987,48,81
Stem,Eggplant,B5 + 0.5mg/L IAA,26,74,3222,31,82
Root,Pansy,MS + 1mg/L NAA,24,59,2461,46,77
Root,Spinach,MS + 2mg/L BAP,26,75,3416,34,93
Stem,Marigold,B5 + 2mg/L BAP,21,74,2862,32,88
Leaf,Ginger,B5 + 1mg/L NAA,25,64,3474,51,93
Stem,Eggplant,B5 + 0.5mg/L IAA,20,62,4431,36,91
Root,Mint,MS + 0.5mg/L IAA,24,55,3899,36,84
Root,Onion,B5 + 0.5mg/L IAA,24,60,3911,40,95
Root,Lettuce,B5 + 0.5mg/L IAA,22,70,2511,42,79
Root,Chrysanthemum,MS + 1.5mg/L BAP,24,58,2208,60,93
Stem,Chamomile,B5 + 2mg/L BAP,26,54,4719,47,86
Leaf,Dandelion,B5 + 2mg/L BAP,23,73,2195,53,95
Root,Potato,MS + 2mg/L BAP,24,68,2449,56,91
Leaf,Marigold,B5 + 0.5mg/L IAA,20,70,2504,52,89
Stem,Eggplant,MS + 1.5mg/L BAP,23,55,3364,36,75
Leaf,Parsley,B5 + 2mg/L BAP,23,62,4635,33,81
Stem,Chrysanthemum,B5 + 1mg/L NAA,22,72,3033,44,71
Stem,Ginger,MS + 1mg/L NAA,26,59,3893,60,71
Leaf,Onion,MS + 2mg/L BAP,26,61,3863,34,85
Leaf,Cauliflower,B5 + 2mg/L BAP,20,74,2936,37,81
Root,Onion,B5 + 1mg/L NAA,22,62,3178,54,73
Root,Tobacco,MS + 1mg/L NAA,26,56,4517,43,83
Root,Lavender,MS + 1mg/L NAA,20,56,3076,58,84
Leaf,Eggplant,B5 + 2mg/L BAP,26,69,2984,57,93
Stem,Potato,B5 + 2mg/L BAP,20,53,4716,50,78
Leaf,Eggplant,B5 + 0.5mg/L IAA,20,64,2293,42,95
Stem,Marigold,MS + 1.5mg/L BAP,21,54,4700,45,93
Root,Mint,B5 + 2mg/L BAP,20,73,3074,31,86
Stem,Eggplant,MS + 2mg/L BAP,21,68,4843,39,83
Stem,Cauliflower,MS + 0.5mg/L IAA,26,75,4197,59,90
Root,Tobacco,B5 + 1mg/L NAA,22,68,3981,52,85
Stem,Basil,MS + 2mg/L BAP,22,70,2546,58,76
Root,Potato,MS + 0.5mg/L IAA,21,59,2708,52,81
Root,Carrot,MS + 2mg/L BAP,25,50,3443,32,87
Leaf,Sunflower,MS + 2mg/L BAP,25,56,3496,59,73
Stem,Sunflower,MS + 0.5mg/L IAA,22,62,3918,45,87
Root,Onion,MS + 1.5mg/L BAP,20,68,4049,32,74
Leaf,Aloe,MS + 1mg/L NAA,26,58,3379,30,93
Root,Marigold,MS + 0.5mg/L IAA,25,66,3643,57,73
Stem,Chrysanthemum,B5 + 0.5mg/L IAA,21,71,3042,50,85
Leaf,Aloe,MS + 1.5mg/L BAP,21,52,2425,36,93
Leaf,Basil,B5 + 0.5mg/L IAA,26,71,2914,52,85
Stem,Tobacco,MS + 2mg/L BAP,20,53,3403,47,78
Stem,Lavender,MS + 1.5mg/L BAP,20,55,3107,58,86
Stem,Dandelion,MS + 1mg/L NAA,25,70,4654,48,84
Stem,Oregano,MS + 1mg/L NAA,23,63,4995,32,79
Root,Sunflower,B5 + 2mg/L BAP,20,72,4596,49,85
Leaf,Daisy,MS + 1mg/L NAA,22,62,3998,33,84
Leaf,Chamomile,B5 + 0.5mg/L IAA,24,72,3265,58,89
Stem,Sunflower,B5 + 2mg/L BAP,25,59,2390,46,77
Stem,Lettuce,B5 + 2mg/L BAP,24,68,3611,55,81
Leaf,Daisy,MS + 1.5mg/L BAP,23,64,4187,54,89
Stem,Garlic,MS + 1mg/L NAA,20,52,3346,45,89
Root,Parsley,B5 + 1mg/L NAA,26,69,4657,39,91
Leaf,Potato,MS + 1mg/L NAA,21,63,3532,31,91
Leaf,Rose,B5 + 1mg/L NAA,23,64,3915,40,80
Stem,Ginger,B5 + 1mg/L NAA,21,71,2876,56,90
Root,Pepper,B5 + 0.5mg/L IAA,20,50,4537,57,87
Stem,Aloe,MS + 0.5mg/L IAA,25,63,4724,30,79
Root,Parsley,B5 + 2mg/L BAP,25,71,3286,33,76
Root,Aloe,B5 + 0.5mg/L IAA,25,67,2621,37,87
Root,Lettuce,MS + 2mg/L BAP,26,57,2973,53,77
Stem,Daisy,MS + 2mg/L BAP,24,56,2592,36,81
Root,Tomato,MS + 2mg/L BAP,23,60,4197,55,82
Stem,Dandelion,MS + 1.5mg/L BAP,20,57,3502,35,89
Stem,Eggplant,B5 + 1mg/L NAA,20,69,3527,30,88
Leaf,Pansy,MS + 0.5mg/L IAA,21,53,3431,54,88
Stem,Cauliflower,B5 + 2mg/L BAP,21,51,4263,58,85
Root,Aloe,B5 + 1mg/L NAA,20,53,2072,37,94
Stem,Oregano,MS + 1mg/L NAA,25,62,4761,38,73
Root,Spinach,MS + 1mg/L NAA,21,53,4384,60,75
Stem,Beetroot,MS + 0.5mg/L IAA,20,55,3409,55,81
Stem,Aloe,B5 + 0.5mg/L IAA,24,61,3990,38,74
Root,Chamomile,MS + 0.5mg/L IAA,23,75,4448,48,94
Stem,Pepper,MS + 1.5mg/L BAP,24,74,3234,41,71
Stem,Tobacco,MS + 1mg/L NAA,26,68,3998,43,72
Leaf,Parsley,MS + 2mg/L BAP,24,50,3483,30,89
Leaf,Basil,MS + 1mg/L NAA,24,53,4054,60,76
Root,Carrot,MS + 1.5mg/L BAP,24,62,2400,45,71
Leaf,Spinach,MS + 2mg/L BAP,20,74,4677,32,92
Stem,Chamomile,MS + 1.5mg/L BAP,20,72,3674,38,82
Stem,Eggplant,B5 + 1mg/L NAA,20,57,3648,58,78
Stem,Rose,B5 + 2mg/L BAP,26,68,2181,46,83
Root,Tobacco,B5 + 2mg/L BAP,22,69,2636,45,90
Stem,Tomato,B5 + 0.5mg/L IAA,20,58,4174,54,88
Root,Cucumber,MS + 2mg/L BAP,20,73,3075,42,73
Leaf,Pansy,MS + 1.5mg/L BAP,21,68,4572,41,74
Leaf,Oregano,MS + 2mg/L BAP,22,51,4622,31,82
Root,Oregano,MS + 2mg/L BAP,23,74,2481,56,95
Leaf,Onion,B5 + 2mg/L BAP,26,74,2792,52,85
Stem,Beetroot,B5 + 0.5mg/L IAA,20,52,3681,45,73
Root,Parsley,B5 + 1mg/L NAA,21,56,2686,44,88
Root,Lettuce,MS + 0.5mg/L IAA,20,57,2976,41,72
Root,Parsley,MS + 0.5mg/L IAA,26,57,2874,54,88
Leaf,Onion,B5 + 2mg/L BAP,25,58,4683,52,83
Root,Basil,MS + 2mg/L BAP,23,58,4613,34,88
Leaf,Beetroot,MS + 2mg/L BAP,25,56,3236,41,88
Leaf,Chrysanthemum,MS + 2mg/L BAP,20,65,3818,52,76
Root,Basil,B5 + 1mg/L NAA,24,71,2007,57,76
Stem,Pepper,B5 + 0.5mg/L IAA,26,63,3231,50,81
Leaf,Oregano,MS + 2mg/L BAP,23,65,2074,44,77
Leaf,Beetroot,B5 + 1mg/L NAA,26,71,3904,34,91
Stem,Broccoli,MS + 1mg/L NAA,25,75,2416,37,71
Leaf,Tomato,B5 + 2mg/L BAP,24,56,3030,32,76
Stem,Daisy,MS + 1.5mg/L BAP,23,71,3640,56,90
Stem,Pansy,B5 + 2mg/L BAP,20,58,4428,42,72
Stem,Lettuce,MS + 2mg/L BAP,26,67,3821,54,77
Leaf,Lettuce,B5 + 2mg/L BAP,25,75,4595,53,94
Stem,Aloe,MS + 0.5mg/L IAA,20,53,4934,36,87
Leaf,Thyme,MS + 2mg/L BAP,25,59,2393,33,85
Root,Aloe,B5 + 0.5mg/L IAA,26,51,3042,42,87
Leaf,Chamomile,MS + 1mg/L NAA,23,68,4988,30,76
Leaf,Carrot,MS + 1.5mg/L BAP,21,67,4018,56,71
Leaf,Carrot,MS + 2mg/L BAP,26,75,4742,36,80
Stem,Cucumber,MS + 0.5mg/L IAA,22,72,4416,51,90
Stem,Dandelion,MS + 2mg/L BAP,25,58,4003,45,82
Leaf,Tomato,MS + 0.5mg/L IAA,25,52,4950,60,86
Leaf,Dandelion,B5 + 0.5mg/L IAA,24,73,4840,50,74
Leaf,Pansy,MS + 1mg/L NAA,26,51,3005,46,86
Leaf,Tobacco,B5 + 2mg/L BAP,20,52,3191,53,95
Stem,Eggplant,B5 + 2mg/L BAP,25,63,2509,32,93
Leaf,Carrot,B5 + 2mg/L BAP,24,65,4277,32,93
Root,Daisy,MS + 1.5mg/L BAP,22,69,3430,50,95
Leaf,Daisy,MS + 2mg/L BAP,20,56,4923,57,85
Leaf,Sunflower,B5 + 2mg/L BAP,24,51,3308,51,81
Root,Daisy,B5 + 1mg/L NAA,25,52,4342,53,77
Root,Onion,MS + 1mg/L NAA,22,58,3392,54,77
Stem,Beetroot,MS + 1mg/L NAA,26,67,2170,31,80
Leaf,Tomato,MS + 2mg/L BAP,25,52,4122,40,80
Stem,Daisy,MS + 2mg/L BAP,23,53,4919,54,75
Leaf,Mint,MS + 1.5mg/L BAP,26,62,2887,58,83
Stem,Spinach,MS + 2mg/L BAP,24,50,4045,52,92
Leaf,Tomato,B5 + 2mg/L BAP,22,59,3160,54,75
Stem,Lavender,MS + 1.5mg/L BAP,26,68,3527,44,71
Root,Daisy,B5 + 1mg/L NAA,22,70,4924,57,74
Root,Marigold,B5 + 0.5mg/L IAA,20,72,3648,30,89
Stem,Daisy,MS + 0.5mg/L IAA,25,68,2151,60,91
Root,Aloe,MS + 2mg/L BAP,20,71,2502,36,78
Leaf,Mint,MS + 2mg/L BAP,20,71,3890,54,94
Stem,Lavender,MS + 1.5mg/L BAP,21,52,2104,57,87
Root,Tomato,B5 + 0.5mg/L IAA,23,74,2782,48,85
Stem,Rose,MS + 0.5mg/L IAA,22,50,4492,49,78
Stem,Parsley,B5 + 2mg/L BAP,21,51,3590,42,85
Root,Garlic,MS + 0.5mg/L IAA,22,59,2412,57,86
Leaf,Onion,MS + 2mg/L BAP,24,70,2079,54,73
Leaf,Sunflower,B5 + 1mg/L NAA,21,55,2318,36,73
Stem,Carrot,B5 + 1mg/L NAA,25,51,3884,31,75
Leaf,Broccoli,B5 + 2mg/L BAP,20,54,3425,43,87
Stem,Sunflower,B5 + 0.5mg/L IAA,20,66,4522,42,75
Leaf,Carrot,B5 + 1mg/L NAA,23,67,4776,57,82
Stem,Broccoli,MS + 0.5mg/L IAA,21,63,2127,44,88
Stem,Beetroot,B5 + 0.5mg/L IAA,24,63,4699,30,91
Stem,Cauliflower,MS + 0.5mg/L IAA,24,53,2161,30,88
Root,Sunflower,B5 + 0.5mg/L IAA,25,62,2429,41,76
Root,Pepper,MS + 1mg/L NAA,26,67,3795,49,79
Stem,Aloe,B5 + 2mg/L BAP,26,51,2144,49,93
Root,Onion,MS + 0.5mg/L IAA,23,73,3569,38,81
Stem,Oregano,MS + 1mg/L NAA,24,52,3884,42,73
Root,Tobacco,B5 + 2mg/L BAP,25,69,4346,59,84
Leaf,Pansy,B5 + 1mg/L NAA,20,69,4646,49,77
Stem,Pansy,B5 + 1mg/L NAA,23,51,3104,57,88
Stem,Garlic,MS + 1.5mg/L BAP,21,57,4353,56,75
Root,Sunflower,MS + 1.5mg/L BAP,26,59,2136,60,95
Root,Sunflower,B5 + 1mg/L NAA,23,54,4002,42,74
Root,Daisy,B5 + 1mg/L NAA,24,53,4224,42,74
Leaf,Carrot,B5 + 1mg/L NAA,26,74,3771,51,88
Leaf,Carrot,MS + 1mg/L NAA,20,56,4870,49,77
Root,Beetroot,B5 + 2mg/L BAP,25,58,4446,37,72
Leaf,Cucumber,B5 + 2mg/L BAP,21,66,2729,57,84
Leaf,Spinach,MS + 1.5mg/L BAP,23,73,4166,52,90
Stem,Beetroot,B5 + 0.5mg/L IAA,20,60,3280,34,84
